GeneID Chr Strand NExons P.Value FDR
MSTRG.219 chr15 - 2 0.8767471 1
MSTRG.2193 chr15 - 15 0.7637054 1
MSTRG.2197 chr15 - 2 7.827394E-08 4.728667E-06
MSTRG.2198 chr15 - 4 0.3559585 1
MSTRG.2202 chr15 - 7 0.7078275 1
MSTRG.2205 chr15 - 2 0.9790137 1
MSTRG.2206 chr15 - 22 0.205858 0.9354698
MSTRG.2207 chr15 - 37 0.6023206 1
MSTRG.2208 chr15 - 2 0.8488858 1
MSTRG.221 chr15 - 4 0.8581433 1
MSTRG.2211 chr15 - 2 0.7024841 1
MSTRG.2213 chr15 - 3 0.9988316 1
MSTRG.222 chr15 - 178 0.6361899 1
MSTRG.2223 chr15 - 4 0.8578387 1
MSTRG.2227 chr15 - 52 0.4349564 1
MSTRG.2233 chr15 - 5 0.04256146 0.4085104
MSTRG.2237 chr15 - 3 0.5313707 1
MSTRG.2238 chr15 - 41 0.01126253 0.1606474
MSTRG.2239 chr15 - 2 0.5321705 1
MSTRG.2245 chr15 - 31 0.01722713 0.2157593
MSTRG.2246 chr15 - 13 0.3250577 1
MSTRG.2247 chr15 - 139 0.9172527 1
MSTRG.2250 chr15 - 3 0.09887227 0.6907607
MSTRG.2254 chr15 - 4 0.3394971 1
MSTRG.2256 chr15 - 6 0.9414358 1
MSTRG.228 chr15 - 21 0.6798364 1
MSTRG.23 chr15 - 3 0.9249679 1
MSTRG.234 chr15 - 12 0.6429333 1
MSTRG.235 chr15 - 3 0.7799109 1
MSTRG.237 chr15 - 2 0.7917176 1
MSTRG.249 chr15 - 2 0.9812089 1
MSTRG.254 chr15 - 2 0.1270266 0.7673901
MSTRG.255 chr15 - 2 0.7704795 1
MSTRG.256 chr15 - 67 0.07284836 0.5750048
MSTRG.258 chr15 - 9 0.2626417 1
MSTRG.261 chr15 - 82 0.6848163 1
MSTRG.264 chr15 - 2 0.1687273 0.8683135
MSTRG.265 chr15 - 48 0.8001348 1
MSTRG.269 chr15 - 377 0.1077243 0.7375524
MSTRG.276 chr15 - 2 0.6416355 1
MSTRG.281 chr15 - 2 0.1924609 0.9150096
MSTRG.289 chr15 - 11 0.8661411 1
MSTRG.291 chr15 - 9 0.5663148 1
MSTRG.30 chr15 - 3 0.7629907 1
MSTRG.302 chr15 - 2 0.6896871 1
MSTRG.305 chr15 - 4 0.8774104 1
MSTRG.308 chr15 - 177 0.9420539 1
MSTRG.31 chr15 - 2 0.6538724 1
MSTRG.312 chr15 - 2 0.814438 1
MSTRG.328 chr15 - 4 0.5119518 1
MSTRG.332 chr15 - 2 0.8034675 1
MSTRG.334 chr15 - 13 0.9011361 1
MSTRG.335 chr15 - 13 0.9238651 1
MSTRG.342 chr15 - 2 0.1938517 0.9150096
MSTRG.353 chr15 - 2 0.9224621 1
MSTRG.36 chr15 - 6 0.6019147 1
MSTRG.364 chr15 - 2 0.9989191 1
MSTRG.365 chr15 - 2 0.9684938 1
MSTRG.366 chr15 - 31 0.9819638 1
MSTRG.369 chr15 - 2 0.7270121 1
MSTRG.372 chr15 - 2 0.04406498 0.415181
MSTRG.375 chr15 - 4 0.9761033 1
MSTRG.377 chr15 - 2 0.9416102 1
MSTRG.379 chr15 - 36 0.4301103 1
MSTRG.38 chr15 - 5 0.7790176 1
MSTRG.381 chr15 - 2 0.3596421 1
MSTRG.385 chr15 - 2 0.2349612 1
MSTRG.395 chr15 - 2 0.9727019 1
MSTRG.399 chr15 - 14 0.5205462 1
MSTRG.405 chr15 - 14 5.946718E-08 3.81705E-06
MSTRG.409 chr15 - 35 0.5175897 1
MSTRG.410 chr15 - 2 0.7229302 1
MSTRG.414 chr15 - 5 0.166897 0.8683135
MSTRG.416 chr15 - 2 0.9744845 1
MSTRG.420 chr15 - 342 0.001577872 0.03522771
MSTRG.422 chr15 - 6 0.9243859 1
MSTRG.428 chr15 - 8 0.9970486 1
MSTRG.434 chr15 - 20 0.01924118 0.2297755
MSTRG.439 chr15 - 4 0.8176405 1
MSTRG.442 chr15 - 6 0.5213111 1
MSTRG.446 chr15 - 36 0.3899369 1
MSTRG.454 chr15 - 78 0.1046122 0.725924
MSTRG.463 chr15 - 2 0.763622 1
MSTRG.468 chr15 - 2 0.924058 1
MSTRG.474 chr15 - 2 0.4055583 1
MSTRG.476 chr15 - 6 0.9832341 1
MSTRG.480 chr15 - 2 0.004464808 0.07530396
MSTRG.484 chr15 - 5 0.3673284 1
MSTRG.485 chr15 - 20 0.9587395 1
MSTRG.487 chr15 - 151 0.9668556 1
MSTRG.499 chr15 - 2 0.0695643 0.5625396
MSTRG.507 chr15 - 2 0.999609 1
MSTRG.509 chr15 - 151 0.000294477 0.00737629
MSTRG.517 chr15 - 13 0.2905253 1
MSTRG.523 chr15 - 2 0.9689251 1
MSTRG.53 chr15 - 7 0.821685 1
MSTRG.536 chr15 - 61 0.704682 1
MSTRG.537 chr15 - 2 0.3723564 1
MSTRG.544 chr15 - 2 0.8615587 1
MSTRG.546 chr15 - 3 0.2543136 1
MSTRG.551 chr15 - 14 0.9535873 1
MSTRG.552 chr15 - 14 0.3009506 1
MSTRG.555 chr15 - 2 0.5223858 1
MSTRG.563 chr15 - 6 0.05033388 0.4574592
MSTRG.564 chr15 - 2 0.9920885 1
MSTRG.568 chr15 - 3 0.5323714 1
MSTRG.57 chr15 - 5 0.6450287 1
MSTRG.570 chr15 - 22 0.9123479 1
MSTRG.574 chr15 - 2 0.5201041 1
MSTRG.575 chr15 - 14 0.949807 1
MSTRG.58 chr15 - 3 0.3592285 1
MSTRG.581 chr15 - 20 0.01396153 0.19118
MSTRG.584 chr15 - 14 0.4233347 1
MSTRG.599 chr15 - 2 0.004640668 0.07687042
MSTRG.601 chr15 - 2 0.5949798 1
MSTRG.609 chr15 - 2 0.4143547 1
MSTRG.611 chr15 - 18 0.7070719 1
MSTRG.614 chr15 - 9 0.8073446 1
MSTRG.616 chr15 - 55 0.0002931255 0.00737629
MSTRG.625 chr15 - 2 0.7898871 1
MSTRG.63 chr15 - 2 0.4952924 1
MSTRG.632 chr15 - 4 0.8759197 1
MSTRG.633 chr15 - 16 0.18227 0.910723
MSTRG.635 chr15 - 2 0.1214832 0.7650269
MSTRG.636 chr15 - 127 0.852456 1
MSTRG.638 chr15 - 18 9.599029E-12 9.858203E-10
MSTRG.643 chr15 - 24 0.5447401 1
MSTRG.645 chr15 - 47 0.5838067 1
MSTRG.647 chr15 - 48 0.895559 1
MSTRG.651 chr15 - 3 0.9631632 1
MSTRG.657 chr15 - 2 0.4141865 1
MSTRG.66 chr15 - 352 0.930819 1
MSTRG.673 chr15 - 3 0.9468018 1
MSTRG.675 chr15 - 2 0.6160379 1
MSTRG.679 chr15 - 6 0.3148276 1
MSTRG.687 chr15 - 3 0.5157794 1
MSTRG.7 chr15 - 3 0.2637109 1
MSTRG.705 chr15 - 157 0.9189295 1
MSTRG.711 chr15 - 2 0.9809505 1
MSTRG.718 chr15 - 16 0.9712549 1
MSTRG.722 chr15 - 114 0.8636261 1
MSTRG.724 chr15 - 424 0.4527245 1
MSTRG.726 chr15 - 96 0.5905268 1
MSTRG.732 chr15 - 7 0.808783 1
MSTRG.734 chr15 - 10 0.1528386 0.8349215
MSTRG.737 chr15 - 23 0.5061528 1
MSTRG.738 chr15 - 4 0.1559099 0.8442943
MSTRG.741 chr15 - 53 0.9534984 1
MSTRG.744 chr15 - 29 0.6755801 1
MSTRG.747 chr15 - 35 0.9744092 1
MSTRG.748 chr15 - 173 0.9798264 1
MSTRG.755 chr15 - 303 0.9378093 1
MSTRG.758 chr15 - 11 0.01113614 0.1606474
MSTRG.762 chr15 - 31 0.003800063 0.0684678
MSTRG.769 chr15 - 8 0.00688021 0.1070602
MSTRG.770 chr15 - 2 0.09423534 0.6639513
MSTRG.773 chr15 - 39 0.9047264 1
MSTRG.775 chr15 - 31 0.002320515 0.04766337
MSTRG.778 chr15 - 2 0.9869886 1
MSTRG.78 chr15 - 2 0.6199366 1
MSTRG.789 chr15 - 103 0.9939621 1
MSTRG.793 chr15 - 2 0.9103021 1
MSTRG.795 chr15 - 2 0.9990139 1
MSTRG.797 chr15 - 3 0.07558486 0.5750048
MSTRG.798 chr15 - 2 0.02748046 0.2873675
MSTRG.799 chr15 - 4 0.2586466 1
MSTRG.805 chr15 - 27 0.1888841 0.910723
MSTRG.812 chr15 - 50 0.5688288 1
MSTRG.813 chr15 - 2 0.8271783 1
MSTRG.814 chr15 - 124 0.6092103 1
MSTRG.816 chr15 - 2 0.8906584 1
MSTRG.826 chr15 - 2 0.5528326 1
MSTRG.827 chr15 - 23 2.35613E-07 1.289657E-05
MSTRG.829 chr15 - 6 0.8768672 1
MSTRG.836 chr15 - 39 0.4965437 1
MSTRG.837 chr15 - 50 0.885998 1
MSTRG.839 chr15 - 46 0.9849887 1
MSTRG.840 chr15 - 30 0.1345907 0.7974134
MSTRG.843 chr15 - 120 4.185646E-07 2.04698E-05
MSTRG.846 chr15 - 2 0.9447944 1
MSTRG.853 chr15 - 169 0.4749314 1
MSTRG.854 chr15 - 46 0.8267923 1
MSTRG.856 chr15 - 47 2.134788E-05 0.0006851335
MSTRG.859 chr15 - 4 0.8077907 1
MSTRG.865 chr15 - 26 0.9551194 1
MSTRG.870 chr15 - 12 0.003387312 0.06325035
MSTRG.877 chr15 - 8 0.4930334 1
MSTRG.884 chr15 - 2 0.6411673 1
MSTRG.896 chr15 - 98 0.53217 1
MSTRG.9 chr15 - 24 0.1343864 0.7974134
MSTRG.901 chr15 - 13 0.9738821 1
MSTRG.904 chr15 - 2 0.8822097 1
MSTRG.914 chr15 - 142 0.6220605 1
MSTRG.915 chr15 - 2 0.1972345 0.9165602
MSTRG.920 chr15 - 2 0.5712959 1
MSTRG.923 chr15 - 2 0.8753353 1
MSTRG.925 chr15 - 22 0.2550685 1
MSTRG.928 chr15 - 2 0.1969179 0.9165602
MSTRG.931 chr15 - 56 0.5271715 1
MSTRG.935 chr15 - 3 0.7339059 1
MSTRG.939 chr15 - 2 0.9711299 1
MSTRG.942 chr15 - 23 0.6427841 1
MSTRG.944 chr15 - 2 0.5983893 1
MSTRG.945 chr15 - 42 0.01793088 0.2195141
MSTRG.947 chr15 - 8 0.02828443 0.2904811
MSTRG.948 chr15 - 3 0.1994496 0.9226791
MSTRG.950 chr15 - 2 0.07814475 0.5858382
MSTRG.955 chr15 - 6 0.06691303 0.5497575
MSTRG.956 chr15 - 203 0.07490617 0.5750048
MSTRG.959 chr15 - 3 0.1250907 0.7650269
MSTRG.960 chr15 - 17 0.2735581 1
MSTRG.962 chr15 - 3 0.9975281 1
MSTRG.963 chr15 - 2 0.8638989 1
MSTRG.966 chr15 - 5 0.07924414 0.5897372
MSTRG.973 chr15 - 4 0.986714 1
MSTRG.979 chr15 - 2 0.5134467 1
MSTRG.982 chr15 - 4 0.9982145 1
MSTRG.990 chr15 - 4 1 1
MSTRG.991 chr15 - 64 0.7228477 1
MSTRG.993 chr15 - 57 0.4053736 1
MSTRG.997 chr15 - 2 0.5864321 1
GOLGA6L3 chr15 + 2 0.1842986 0.910723
KIF23 chr15 + 43 0.9717787 1
LINC00924 chr15 + 6 0.8962586 1
MSTRG.1013 chr15 + 95 1 1
MSTRG.1019 chr15 + 4 0.306371 1
MSTRG.102 chr15 + 61 0.0001128437 0.003101562
MSTRG.1025 chr15 + 2 0.06877842 0.5605987
MSTRG.1027 chr15 + 2 0.9229124 1
MSTRG.1033 chr15 + 5 0.6200249 1
MSTRG.1036 chr15 + 77 0.6362637 1
MSTRG.1038 chr15 + 156 2.832411E-21 1.454443E-18
MSTRG.1045 chr15 + 140 0.9584898 1
MSTRG.1052 chr15 + 6 0.9177235 1
MSTRG.1059 chr15 + 9 0.3339845 1
MSTRG.106 chr15 + 21 0.6817772 1
MSTRG.1065 chr15 + 3 0.9737211 1
MSTRG.1069 chr15 + 31 0.8370767 1
MSTRG.1073 chr15 + 95 0.8181077 1
MSTRG.1076 chr15 + 2 0.6980912 1
MSTRG.108 chr15 + 4 0.6014556 1
MSTRG.1080 chr15 + 10 0.1951189 0.9150096
MSTRG.1082 chr15 + 5 0.251726 1
MSTRG.1084 chr15 + 12 0.01664509 0.2136813
