Comparison of groups:  4-1 
           GeneID   Chr     Start       End Strand Length       logFC
23419  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
23436  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
5297    MSTRG.405 chr15  35087707  35087927      -    221 -11.1172616
7948    MSTRG.616 chr15  44162959  44166137      -   3179  -7.4933133
24224  MSTRG.1470 chr15  72452147  72454353      -   2207   7.4431807
23351  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
23367  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
23385  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
23402  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
23418  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
23435  MSTRG.1396 chr15  71305143  71305252      +    110  -5.7739713
20954  MSTRG.1244 chr15  65040618  65040766      -    149  -5.8825315
20961  MSTRG.1244 chr15  65040618  65040766      -    149  -5.8825315
23350  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
23366  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
23384  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
23401  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
23417  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
23434  MSTRG.1396 chr15  71302146  71302331      +    186  -5.1335177
11685   MSTRG.783 chr15  41148968  41149853      +    886   6.5921344
11696   MSTRG.783 chr15  41148968  41149853      +    886   6.5921344
11706   MSTRG.783 chr15  41148968  41149853      +    886   6.5921344
20955  MSTRG.1244 chr15  65041199  65041349      -    151  -5.4429845
20962  MSTRG.1244 chr15  65041199  65041349      -    151  -5.4429845
15922  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
15935  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
15948  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
15961  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
15975  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
15989  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
16005  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
16037  MSTRG.1038 chr15  57953648  57953731      +     84  -4.7663647
25848  MSTRG.1514 chr15  75212617  75212783      -    167  -4.3357935
15895  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15907  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15919  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15932  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15945  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15958  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15972  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15986  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
16001  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
16017  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
16034  MSTRG.1038 chr15  57925811  57925939      +    129  -4.5777635
15896  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15908  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15920  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15933  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15946  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15959  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15973  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
15987  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
16002  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
16018  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
16035  MSTRG.1038 chr15  57929893  57929972      +     80  -4.5683947
18364  MSTRG.1182 chr15  63334959  63335142      +    184  -7.9869360
15894  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15906  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15918  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15931  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15944  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15957  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15971  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15985  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
16000  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
16016  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
16033  MSTRG.1038 chr15  57924632  57924757      +    126  -4.3683311
15893  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15905  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15917  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15930  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15943  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15956  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15970  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15984  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15999  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
16015  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
16032  MSTRG.1038 chr15  57921898  57922052      +    155  -4.2501989
15898  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
15923  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
15936  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
15962  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
15990  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
16020  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
16038  MSTRG.1038 chr15  57967166  57967266      +    101  -4.6961521
29819  MSTRG.1786 chr15  83455504  83456220      -    717  -7.7104917
29831  MSTRG.1786 chr15  83455504  83456220      -    717  -7.7104917
29845  MSTRG.1786 chr15  83455504  83456220      -    717  -7.7104917
18298  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18307  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18316  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18325  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18334  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18344  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
18354  MSTRG.1182 chr15  63334838  63335142      +    305  -7.9854216
6970    MSTRG.502 chr15  37002057  37002162      +    106  -5.3113031
6981    MSTRG.502 chr15  37002057  37002162      +    106  -5.3113031
6993    MSTRG.502 chr15  37002057  37002162      +    106  -5.3113031
7005    MSTRG.502 chr15  37002057  37002162      +    106  -5.3113031
6982    MSTRG.502 chr15  37100525  37100690      +    166  -5.0979792
6994    MSTRG.502 chr15  37100525  37100690      +    166  -5.0979792
13447   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
13469   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
13487   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
13506   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
13526   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
13547   MSTRG.843 chr15  42737025  42737179      -    155  -3.6505876
15897  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15909  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15921  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15934  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15947  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15960  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15974  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
15988  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
16003  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
16019  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
16036  MSTRG.1038 chr15  57931638  57931743      +    106  -4.5431077
27208  MSTRG.1590 chr15  76577978  76578079      -    102  -3.5386241
27219  MSTRG.1590 chr15  76577978  76578079      -    102  -3.5386241
27231  MSTRG.1590 chr15  76577978  76578079      -    102  -3.5386241
6968    MSTRG.502 chr15  36989524  36989591      +     68  -5.8649503
6979    MSTRG.502 chr15  36989524  36989591      +     68  -5.8649503
6991    MSTRG.502 chr15  36989524  36989591      +     68  -5.8649503
7003    MSTRG.502 chr15  36989524  36989591      +     68  -5.8649503
27209  MSTRG.1590 chr15  76578712  76578822      -    111  -3.4984997
27220  MSTRG.1590 chr15  76578712  76578822      -    111  -3.4984997
27232  MSTRG.1590 chr15  76578712  76578822      -    111  -3.4984997
6965    MSTRG.502 chr15  36950034  36950106      +     73  -5.4886875
6976    MSTRG.502 chr15  36950034  36950106      +     73  -5.4886875
6988    MSTRG.502 chr15  36950034  36950106      +     73  -5.4886875
7000    MSTRG.502 chr15  36950034  36950106      +     73  -5.4886875
21291  MSTRG.1260 chr15  65488337  65491437      -   3101  -5.0203017
7949    MSTRG.616 chr15  44166317  44166660      -    344 -10.6886973
7830    MSTRG.611 chr15  45660268  45660458      -    191  -3.9367550
7839    MSTRG.611 chr15  45660268  45660458      -    191  -3.9367550
6969    MSTRG.502 chr15  37001424  37001489      +     66  -5.2083644
6980    MSTRG.502 chr15  37001424  37001489      +     66  -5.2083644
6992    MSTRG.502 chr15  37001424  37001489      +     66  -5.2083644
7004    MSTRG.502 chr15  37001424  37001489      +     66  -5.2083644
7834    MSTRG.611 chr15  45653322  45654419      -   1098  -4.1067540
7828    MSTRG.611 chr15  45658244  45658408      -    165  -3.9253602
7837    MSTRG.611 chr15  45658244  45658408      -    165  -3.9253602
29650  MSTRG.1773 chr15  85407673  85407896      +    224  -4.2465429
6967    MSTRG.502 chr15  36984327  36984376      +     50  -5.4917701
6978    MSTRG.502 chr15  36984327  36984376      +     50  -5.4917701
6990    MSTRG.502 chr15  36984327  36984376      +     50  -5.4917701
7002    MSTRG.502 chr15  36984327  36984376      +     50  -5.4917701
20953  MSTRG.1244 chr15  65033372  65033441      -     70  -5.4730032
20960  MSTRG.1244 chr15  65033372  65033441      -     70  -5.4730032
6963    MSTRG.502 chr15  36937424  36937488      +     65  -6.8308064
6974    MSTRG.502 chr15  36937424  36937488      +     65  -6.8308064
6986    MSTRG.502 chr15  36937424  36937488      +     65  -6.8308064
6998    MSTRG.502 chr15  36937424  36937488      +     65  -6.8308064
27746  MSTRG.1628 chr15  78459545  78463871      -   4327  -3.4585040
6966    MSTRG.502 chr15  36983886  36983965      +     80  -5.2764628
6977    MSTRG.502 chr15  36983886  36983965      +     80  -5.2764628
6989    MSTRG.502 chr15  36983886  36983965      +     80  -5.2764628
7001    MSTRG.502 chr15  36983886  36983965      +     80  -5.2764628
29652  MSTRG.1773 chr15  85411342  85416713      +   5372  -3.9454904
27210  MSTRG.1590 chr15  76580187  76580286      -    100  -3.3195094
27221  MSTRG.1590 chr15  76580187  76580286      -    100  -3.3195094
27233  MSTRG.1590 chr15  76580187  76580286      -    100  -3.3195094
20956  MSTRG.1244 chr15  65041630  65041692      -     63  -5.1838577
20963  MSTRG.1244 chr15  65041630  65041692      -     63  -5.1838577
5234    MSTRG.394 chr15  32605868  32607514      -   1647 -10.3937575
27206  MSTRG.1590 chr15  76566753  76566835      -     83  -3.6005812
27217  MSTRG.1590 chr15  76566753  76566835      -     83  -3.6005812
27229  MSTRG.1590 chr15  76566753  76566835      -     83  -3.6005812
25849  MSTRG.1514 chr15  75215989  75216111      -    123  -3.8886595
6964    MSTRG.502 chr15  36946299  36946359      +     61  -6.2698643
6975    MSTRG.502 chr15  36946299  36946359      +     61  -6.2698643
6987    MSTRG.502 chr15  36946299  36946359      +     61  -6.2698643
6999    MSTRG.502 chr15  36946299  36946359      +     61  -6.2698643
13442   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
13464   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
13482   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
13501   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
13521   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
13541   MSTRG.843 chr15  42729430  42729575      -    146  -3.4077254
33657  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33666  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33678  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33690  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33718  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33727  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
33738  MSTRG.2129 chr15  90630344  90630495      -    152  -4.4591805
7829    MSTRG.611 chr15  45658569  45658706      -    138  -3.8529129
7838    MSTRG.611 chr15  45658569  45658706      -    138  -3.8529129
29643  MSTRG.1773 chr15  85382933  85384163      +   1231  -4.1229830
20952  MSTRG.1244 chr15  65032090  65033199      -   1110  -5.4560186
20959  MSTRG.1244 chr15  65032095  65033199      -   1105  -5.4560186
7825    MSTRG.611 chr15  45653794  45654419      -    626  -3.9818262
27734  MSTRG.1627 chr15  78461264  78462884      +   1621  -3.5817892
27745  MSTRG.1627 chr15  78461264  78462884      +   1621  -3.5817892
13437   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
13459   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
13477   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
13496   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
13516   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
13536   MSTRG.843 chr15  42714699  42714818      -    120  -3.6474443
15890  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15902  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15914  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15927  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15940  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15953  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15967  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15981  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
15996  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
16012  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
16029  MSTRG.1038 chr15  57910231  57910386      +    156  -4.1278338
13446   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13468   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13486   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13505   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13525   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13546   MSTRG.843 chr15  42736400  42736460      -     61  -3.8221174
13448   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
13470   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
13488   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
13507   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
13527   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
13548   MSTRG.843 chr15  42738787  42738856      -     70  -3.7784530
7827    MSTRG.611 chr15  45656995  45657058      -     64  -4.1740454
7836    MSTRG.611 chr15  45656995  45657058      -     64  -4.1740454
27211  MSTRG.1590 chr15  76584772  76584854      -     83  -3.2565221
27222  MSTRG.1590 chr15  76584772  76584854      -     83  -3.2565221
27234  MSTRG.1590 chr15  76584772  76584854      -     83  -3.2565221
31263  MSTRG.1915 chr15  89007934  89008107      -    174  -3.6085799
33655  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33664  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33676  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33688  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33716  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33725  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
33736  MSTRG.2129 chr15  90628233  90628330      -     98  -4.4439488
13080   MSTRG.836 chr15  42433332  42434402      -   1071   5.2361514
13099   MSTRG.836 chr15  42433332  42434402      -   1071   5.2361514
29817  MSTRG.1786 chr15  83451547  83451777      -    231  -9.9396488
29829  MSTRG.1786 chr15  83451547  83451777      -    231  -9.9396488
29843  MSTRG.1786 chr15  83451547  83451777      -    231  -9.9396488
27205  MSTRG.1590 chr15  76523674  76523739      -     66  -3.4367334
27216  MSTRG.1590 chr15  76523674  76523739      -     66  -3.4367334
27228  MSTRG.1590 chr15  76523674  76523739      -     66  -3.4367334
13436   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
13458   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
13476   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
13495   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
13515   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
13535   MSTRG.843 chr15  42714115  42714186      -     72  -3.5903206
7831    MSTRG.611 chr15  45661524  45661719      -    196  -3.6669116
7840    MSTRG.611 chr15  45661524  45661719      -    196  -3.6669116
16006  MSTRG.1038 chr15  57976600  57976872      +    273  -4.4422864
16021  MSTRG.1038 chr15  57976600  57976872      +    273  -4.4422864
11679   MSTRG.783 chr15  41145909  41146127      +    219   7.3653211
31262  MSTRG.1915 chr15  89002709  89003094      -    386  -3.3267027
13450   MSTRG.843 chr15  42741969  42744152      -   2184  -3.4173207
13490   MSTRG.843 chr15  42741969  42744152      -   2184  -3.4173207
13441   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
13463   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
13481   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
13500   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
13520   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
13540   MSTRG.843 chr15  42727582  42727716      -    135  -3.3974865
27207  MSTRG.1590 chr15  76576098  76576166      -     69  -3.4557454
27218  MSTRG.1590 chr15  76576098  76576166      -     69  -3.4557454
27230  MSTRG.1590 chr15  76576098  76576166      -     69  -3.4557454
27212  MSTRG.1590 chr15  76584960  76585041      -     82  -3.3105108
27223  MSTRG.1590 chr15  76584960  76585041      -     82  -3.3105108
27235  MSTRG.1590 chr15  76584960  76585041      -     82  -3.3105108
8329    MSTRG.645 chr15  45409564  45411563      -   2000   6.1857512
8342    MSTRG.645 chr15  45409564  45411563      -   2000   6.1857512
33656  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33665  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33677  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33689  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33717  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33726  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
33737  MSTRG.2129 chr15  90628507  90628619      -    113  -4.5184408
13491   MSTRG.843 chr15  42749156  42749765      -    610  -3.8034511
31264  MSTRG.1915 chr15  89008818  89009004      -    187  -3.3072503
13438   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
13460   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
13478   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
13497   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
13517   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
13537   MSTRG.843 chr15  42716196  42716258      -     63  -3.6100092
15892  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15904  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15916  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15929  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15942  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15955  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15969  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15983  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
15998  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
16014  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
16031  MSTRG.1038 chr15  57917977  57918088      +    112  -4.2041025
27204  MSTRG.1590 chr15  76518190  76518270      -     81  -3.2184360
27215  MSTRG.1590 chr15  76518190  76518270      -     81  -3.2184360
27227  MSTRG.1590 chr15  76518190  76518270      -     81  -3.2184360
25850  MSTRG.1514 chr15  75219107  75219228      -    122  -3.5873898
13472   MSTRG.843 chr15  42749415  42749765      -    351  -4.3539293
13435   MSTRG.843 chr15  42713259  42713330      -     72  -3.5979073
