Coefficient:  group2 group3 group4 
           GeneID   Chr     Start       End Strand Length  logFC.group2
15902  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15914  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15927  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15940  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15953  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15967  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15981  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
15996  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
16012  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
16029  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
14007   MSTRG.864 chr15  52011605  52013223      +   1619  1.119626e+01
14018   MSTRG.864 chr15  52011605  52013223      +   1619  1.119626e+01
16431  MSTRG.1051 chr15  58430646  58430771      -    126  4.677484e+00
7825    MSTRG.611 chr15  45653794  45654419      -    626  2.146976e-01
14730   MSTRG.940 chr15  50489697  50489906      +    210  4.481954e+00
14739   MSTRG.940 chr15  50489697  50489906      +    210  4.481954e+00
7827    MSTRG.611 chr15  45656995  45657058      -     64 -1.273026e-02
7836    MSTRG.611 chr15  45656995  45657058      -     64 -1.273026e-02
16006  MSTRG.1038 chr15  57976600  57976872      +    273 -9.438723e+00
16021  MSTRG.1038 chr15  57976600  57976872      +    273 -9.438723e+00
5297    MSTRG.405 chr15  35087707  35087927      -    221 -9.640974e+00
7006    MSTRG.502 chr15  37100525  37102461      +   1937 -5.554358e+00
8261    MSTRG.640 chr15  45361075  45361250      +    176 -5.197128e-01
8270    MSTRG.640 chr15  45361075  45361250      +    176 -5.197128e-01
7826    MSTRG.611 chr15  45656098  45656214      -    117  1.792387e-01
7835    MSTRG.611 chr15  45656098  45656214      -    117  1.792387e-01
15892  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15904  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15916  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15929  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15942  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15955  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15969  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15983  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15998  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
16014  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
16031  MSTRG.1038 chr15  57917977  57918088      +    112 -8.798422e+00
15899  MSTRG.1038 chr15  57976600  57977562      +    963 -9.569899e+00
15924  MSTRG.1038 chr15  57976600  57977562      +    963 -9.569899e+00
16039  MSTRG.1038 chr15  57976600  57977530      +    931 -9.569899e+00
30116  MSTRG.1810 chr15  85488356  85489027      +    672 -1.827653e+00
30134  MSTRG.1810 chr15  85488356  85489027      +    672 -1.827653e+00
30153  MSTRG.1810 chr15  85488356  85489027      +    672 -1.827653e+00
8259    MSTRG.640 chr15  45357469  45357587      +    119 -2.020820e-01
8268    MSTRG.640 chr15  45357469  45357587      +    119 -2.020820e-01
6983    MSTRG.502 chr15  37101105  37102461      +   1357 -5.577271e+00
13999   MSTRG.864 chr15  51975416  51975631      +    216  1.238955e+01
14010   MSTRG.864 chr15  51975416  51975631      +    216  1.238955e+01
8262    MSTRG.640 chr15  45364515  45364636      +    122 -5.033739e-01
8271    MSTRG.640 chr15  45364515  45364636      +    122 -5.033739e-01
14734   MSTRG.940 chr15  50519177  50519375      +    199  5.254154e+00
14744   MSTRG.940 chr15  50519177  50519375      +    199  5.254154e+00
25893  MSTRG.1524 chr15  75311130  75313836      +   2707  5.797207e+00
25900  MSTRG.1524 chr15  75311130  75313836      +   2707  5.797207e+00
25908  MSTRG.1524 chr15  75311130  75313836      +   2707  5.797207e+00
25916  MSTRG.1524 chr15  75311130  75313836      +   2707  5.797207e+00
25924  MSTRG.1524 chr15  75311130  75313836      +   2707  5.797207e+00
25932  MSTRG.1524 chr15  75311130  75313823      +   2694  5.797207e+00
8260    MSTRG.640 chr15  45360379  45360444      +     66 -4.894453e-01
8269    MSTRG.640 chr15  45360379  45360444      +     66 -4.894453e-01
15621  MSTRG.1005 chr15  53907623  53908440      -    818 -1.289348e+00
15641  MSTRG.1005 chr15  53907623  53908440      -    818 -1.289348e+00
28559  MSTRG.1717 chr15  80885941  80890277      +   4337  5.404694e+00
28579  MSTRG.1717 chr15  80885941  80890278      +   4338  5.404694e+00
28598  MSTRG.1717 chr15  80885941  80890278      +   4338  5.404694e+00
28618  MSTRG.1717 chr15  80885941  80890275      +   4335  5.404694e+00
28638  MSTRG.1717 chr15  80885941  80890278      +   4338  5.404694e+00
14740   MSTRG.940 chr15  50494684  50494842      +    159  4.708317e+00
29652  MSTRG.1773 chr15  85411342  85416713      +   5372 -5.554853e+00
23369  MSTRG.1396 chr15  71341748  71343040      +   1293 -3.595103e+00
23387  MSTRG.1396 chr15  71341748  71343040      +   1293 -3.595103e+00
14000   MSTRG.864 chr15  51980457  51980599      +    143  1.193255e+01
14011   MSTRG.864 chr15  51980457  51980599      +    143  1.193255e+01
14002   MSTRG.864 chr15  51984356  51984533      +    178  9.711048e+00
14013   MSTRG.864 chr15  51984356  51984533      +    178  9.711048e+00
18364  MSTRG.1182 chr15  63334959  63335142      +    184 -9.974081e+00
23353  MSTRG.1396 chr15  71341748  71342436      +    689 -3.728731e+00
23404  MSTRG.1396 chr15  71341748  71342436      +    689 -3.728731e+00
23420  MSTRG.1396 chr15  71341748  71342436      +    689 -3.728731e+00
23437  MSTRG.1396 chr15  71341748  71342436      +    689 -3.728731e+00
14005   MSTRG.864 chr15  51993304  51993441      +    138  8.789910e+00
14016   MSTRG.864 chr15  51993304  51993441      +    138  8.789910e+00
14001   MSTRG.864 chr15  51981416  51981565      +    150  9.336253e+00
14012   MSTRG.864 chr15  51981416  51981565      +    150  9.336253e+00
33504  MSTRG.2124 chr15  90333691  90333772      -     82 -2.095513e+00
15891  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15903  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15915  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15928  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15941  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15954  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15968  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15982  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
15997  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
16013  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
16030  MSTRG.1038 chr15  57913806  57913898      +     93 -8.382874e+00
14735   MSTRG.940 chr15  50521142  50521239      +     98  4.762385e+00
14745   MSTRG.940 chr15  50521142  50521239      +     98  4.762385e+00
14003   MSTRG.864 chr15  51988072  51988188      +    117  9.374188e+00
14014   MSTRG.864 chr15  51988072  51988188      +    117  9.374188e+00
18298  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18307  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18316  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18325  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18334  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18344  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
18354  MSTRG.1182 chr15  63334838  63335142      +    305 -9.853602e+00
23352  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
23368  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
23386  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
23403  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
23419  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
23436  MSTRG.1396 chr15  71329518  71329671      +    154 -3.907390e+00
8258    MSTRG.640 chr15  45353265  45353424      +    160 -2.228343e-01
8267    MSTRG.640 chr15  45353180  45353424      +    245 -2.228343e-01
14732   MSTRG.940 chr15  50515162  50515356      +    195  4.958616e+00
14742   MSTRG.940 chr15  50515162  50515356      +    195  4.958616e+00
13996   MSTRG.864 chr15  51973550  51974034      +    485  1.162085e+01
14008   MSTRG.864 chr15  51973550  51974034      +    485  1.162085e+01
5993    MSTRG.450 chr15  32935787  32936019      +    233  9.324924e+00
5999    MSTRG.450 chr15  32935787  32936019      +    233  9.324924e+00
14004   MSTRG.864 chr15  51991516  51991599      +     84  8.310212e+00
14015   MSTRG.864 chr15  51991516  51991599      +     84  8.310212e+00
27572  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27574  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27580  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27586  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27590  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27593  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27597  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27601  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27605  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27609  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27614  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
27620  MSTRG.1616 chr15  77905366  77908242      -   2877  5.322071e+00
26038  MSTRG.1537 chr15  75042071  75042910      +    840  0.000000e+00
28464  MSTRG.1709 chr15  80450402  80450512      +    111 -9.712695e-01
28480  MSTRG.1709 chr15  80450402  80450512      +    111 -9.712695e-01
28498  MSTRG.1709 chr15  80450402  80450512      +    111 -9.712695e-01
28512  MSTRG.1709 chr15  80450402  80450512      +    111 -9.712695e-01
24224  MSTRG.1470 chr15  72452147  72454353      -   2207  3.323088e+00
13080   MSTRG.836 chr15  42433332  42434402      -   1071 -5.523868e+00
13099   MSTRG.836 chr15  42433332  42434402      -   1071 -5.523868e+00
16437  MSTRG.1052 chr15  58471327  58471544      +    218  5.368106e+00
23351  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
23367  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
23385  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
23402  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
23418  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
23435  MSTRG.1396 chr15  71305143  71305252      +    110 -4.059013e+00
7808    MSTRG.601 chr15  45120653  45120769      -    117  1.109827e+00
23350  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
23366  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
23384  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
23401  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
23417  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
23434  MSTRG.1396 chr15  71302146  71302331      +    186 -3.782072e+00
7904    MSTRG.616 chr15  44162959  44166660      -   3702 -9.078358e-01
7918    MSTRG.616 chr15  44162959  44166660      -   3702 -9.078358e-01
7933    MSTRG.616 chr15  44162959  44166660      -   3702 -9.078358e-01
33510  MSTRG.2124 chr15  90342491  90342546      -     56 -2.628410e+00
20954  MSTRG.1244 chr15  65040618  65040766      -    149 -5.933336e+00
20961  MSTRG.1244 chr15  65040618  65040766      -    149 -5.933336e+00
29650  MSTRG.1773 chr15  85407673  85407896      +    224 -5.707503e+00
26040  MSTRG.1537 chr15  75044106  75044195      +     90  0.000000e+00
28463  MSTRG.1709 chr15  80445368  80445477      +    110 -4.181810e-01
28479  MSTRG.1709 chr15  80445368  80445477      +    110 -4.181810e-01
28497  MSTRG.1709 chr15  80445368  80445477      +    110 -4.181810e-01
29643  MSTRG.1773 chr15  85382933  85384163      +   1231 -6.099093e+00
33509  MSTRG.2124 chr15  90340806  90340953      -    148 -2.386811e+00
13447   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
13469   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
13487   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
13506   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
13526   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
13547   MSTRG.843 chr15  42737025  42737179      -    155 -4.252921e+00
28511  MSTRG.1709 chr15  80445233  80445477      +    245 -4.180183e-01
11685   MSTRG.783 chr15  41148968  41149853      +    886  5.449844e-01
11696   MSTRG.783 chr15  41148968  41149853      +    886  5.449844e-01
11706   MSTRG.783 chr15  41148968  41149853      +    886  5.449844e-01
33505  MSTRG.2124 chr15  90334184  90334324      -    141 -2.242820e+00
14736   MSTRG.940 chr15  50526065  50526195      +    131  5.338697e+00
14746   MSTRG.940 chr15  50526065  50526195      +    131  5.338697e+00
33508  MSTRG.2124 chr15  90336266  90336357      -     92 -1.986578e+00
28337  MSTRG.1696 chr15  80135889  80137784      -   1896 -1.717341e+00
28340  MSTRG.1696 chr15  80135889  80137784      -   1896 -1.717341e+00
28343  MSTRG.1696 chr15  80135889  80137784      -   1896 -1.717341e+00
28346  MSTRG.1696 chr15  80135889  80137784      -   1896 -1.717341e+00
8257    MSTRG.640 chr15  45335455  45335619      +    165  1.681533e-01
8266    MSTRG.640 chr15  45335455  45335619      +    165  1.681533e-01
14333   MSTRG.902 chr15  52100617  52108558      +   7942  4.701244e+00
14342   MSTRG.902 chr15  52100617  52108558      +   7942  4.701244e+00
8255    MSTRG.640 chr15  45315302  45315547      +    246  4.306690e-02
8264    MSTRG.640 chr15  45315302  45315547      +    246  4.306690e-02
8273    MSTRG.640 chr15  45315307  45315547      +    241  4.306690e-02
5994    MSTRG.450 chr15  32971967  32972116      +    150  8.925597e+00
6000    MSTRG.450 chr15  32971967  32972116      +    150  8.925597e+00
28354  MSTRG.1696 chr15  80137377  80137784      -    408 -1.849381e+00
28350  MSTRG.1696 chr15  80137322  80137784      -    463 -1.835673e+00
29819  MSTRG.1786 chr15  83455504  83456220      -    717 -8.168545e+00
29831  MSTRG.1786 chr15  83455504  83456220      -    717 -8.168545e+00
29845  MSTRG.1786 chr15  83455504  83456220      -    717 -8.168545e+00
26039  MSTRG.1537 chr15  75043530  75043650      +    121  0.000000e+00
