GeneID Chr Start End Strand Length logFC.group2 logFC.group3 logFC.group4 logCPM LR PValue FDR
MSTRG.1042.1 chr15 57002328 57058644 + 56317 0.943111 0.8400497 1.289939 3.8959927 9.04786 0.02866128 0.04141473
MSTRG.1045.5 chr15 57211320 57580240 + 368921 1.411028 0.3704329 0.2446131 9.2545364 14.56973 0.002223833 0.003863639
MSTRG.1046.1 chr15 57303795 57303995 + 201 3.815651 -2.684156 -2.026417 3.3962711 105.5775 9.815574E-23 9.124848E-22
MSTRG.1050.1 chr15 58192465 58221350 + 28886 -0.1416785 1.472786 0.450258 2.8055383 16.8613 0.0007547091 0.001410576
MSTRG.1053.1 chr15 58488545 58489009 + 465 0.3183807 0.7863709 0.7027033 1.2369637 1.121889 0.7717928 0.7956608
MSTRG.1056.1 chr15 58491236 58640120 + 148885 0.4010161 3.964385 0.3725934 6.443556 249.2491 9.51133E-54 2.305957E-52
MSTRG.1057.1 chr15 58596593 58596818 + 226 0.7681339 -0.6978654 -0.3225257 1.7195209 5.899888 0.1165838 0.1478345
MSTRG.106.1 chr15 25226682 25281637 + 54956 0.4392621 -2.819587 -2.175383 9.3436102 86.419 1.286882E-18 8.799881E-18
MSTRG.106.2 chr15 25226682 25281637 + 54956 0.4392621 -2.819587 -2.175383 9.3436102 86.419 1.286882E-18 8.799881E-18
MSTRG.1065.1 chr15 58978647 58979669 + 1023 -0.5153764 -0.7322228 -0.7806902 7.6284812 11.11451 0.0111225 0.0172829
MSTRG.1065.2 chr15 58978647 58979669 + 1023 -0.5153764 -0.7322228 -0.7806902 7.6284812 11.11451 0.0111225 0.0172829
MSTRG.1069.3 chr15 59063394 59154095 + 90702 0.07800004 -1.03159 -0.08883215 8.3891077 25.94166 9.809452E-06 2.413895E-05
MSTRG.1069.4 chr15 59109661 59154099 + 44439 0.004040828 -1.180748 -0.1336792 8.2217356 29.45256 1.798949E-06 4.846033E-06
MSTRG.1069.5 chr15 59120154 59154095 + 33942 0.008561083 -1.212891 -0.1324895 8.18499 30.88139 9.003604E-07 2.501196E-06
MSTRG.1069.6 chr15 59136461 59154095 + 17635 0.005821641 -1.253488 -0.1542117 8.1160895 31.18687 7.764152E-07 2.173861E-06
MSTRG.1069.7 chr15 59141137 59154099 + 12963 0.02892019 -1.268133 -0.1400565 8.0613054 31.83171 5.678772E-07 1.636146E-06
MSTRG.1072.1 chr15 59161818 59162290 + 473 -0.4371628 0.505856 0.1680632 8.9030141 18.93169 0.0002824359 0.0005582
MSTRG.1073.1 chr15 59279815 59389574 + 109760 0.774678 0.848202 0.3912147 7.7045991 17.24145 0.0006303574 0.001189622
MSTRG.1073.5 chr15 59280329 59389633 + 109305 0.784569 0.86123 0.402049 7.6577418 17.48463 0.0005617198 0.001066218
MSTRG.1073.7 chr15 59280346 59389512 + 109167 0.784569 0.86123 0.402049 7.6577418 17.48463 0.0005617198 0.001066218
MSTRG.1074.1 chr15 59820109 59820371 + 263 2.643189 0.3866846 0.1783799 1.655248 12.97079 0.004700197 0.007764514
MSTRG.1076.1 chr15 59826883 59827359 + 477 1.50943 0.4490154 1.769424 2.1928865 6.209736 0.1018403 0.1304962
MSTRG.108.1 chr15 26420145 26517918 + 97774 -0.8223702 -0.7755315 -0.5218804 4.5534804 8.519622 0.03640898 0.05157938
MSTRG.108.2 chr15 26444921 26517918 + 72998 -1.104142 -0.9068888 -0.645559 4.4311735 13.28478 0.004059522 0.00677964
MSTRG.1080.1 chr15 55492771 55565615 + 72845 -0.2560252 2.630092 3.031915 7.7136616 216.9286 9.260844E-47 1.908987E-45
MSTRG.1080.2 chr15 55507842 55565615 + 57774 0.8889631 2.949487 3.2211 5.8193948 103.9684 2.177962E-22 1.928084E-21
MSTRG.1080.3 chr15 55518715 55565615 + 46901 1.08321 3.017966 3.367047 5.4496772 82.29392 9.883512E-18 6.438618E-17
MSTRG.1080.4 chr15 55545052 55565615 + 20564 1.469321 2.019141 2.359254 3.7566191 16.22385 0.001020226 0.001861977
MSTRG.1082.1 chr15 55594812 55596674 + 1863 1.265136 1.717115 1.519374 2.4633666 6.879724 0.0758318 0.1000848
MSTRG.1082.2 chr15 55594812 55596674 + 1863 1.265136 1.717115 1.519374 2.4633666 6.879724 0.0758318 0.1000848
MSTRG.1082.3 chr15 55595271 55596668 + 1398 1.811499 1.790034 2.067705 2.2211508 7.718057 0.05221256 0.07182173
MSTRG.1085.1 chr15 55644050 55682283 + 38234 -0.8509351 0.007475271 -0.7126773 9.4913552 22.10568 6.20102E-05 0.0001343817
MSTRG.1087.1 chr15 55653629 55776702 + 123074 -0.1955353 -0.05827645 -0.21513 8.1361756 1.122859 0.7715588 0.7956117
MSTRG.1089.1 chr15 55680068 55681295 + 1228 -2.025514 0.9308852 -1.138002 2.580179 12.89819 0.004862039 0.008019452
MSTRG.109.1 chr15 26512396 26513132 + 737 -0.3042037 -0.9866433 -0.1375102 2.2470579 2.630074 0.4522415 0.4959276
MSTRG.1091.1 chr15 55733769 55733996 + 228 2.420752 1.783709 1.638798 1.1727728 5.705385 0.1268576 0.1596759
MSTRG.1097.1 chr15 55796902 55797356 + 455 -0.5778622 0.9032637 -0.4469393 3.0500966 13.40469 0.003838368 0.006435488
MSTRG.1100.1 chr15 55850317 56099677 + 249361 0.2709522 -0.4683291 1.276239 6.8465415 43.97542 1.527436E-09 5.814067E-09
MSTRG.1100.2 chr15 55850329 56100057 + 249729 0.2882544 -0.4628098 1.28532 6.8553525 44.21724 1.357038E-09 5.19792E-09
MSTRG.1101.1 chr15 55882996 55937656 + 54661 -0.3060999 -1.276433 1.510618 5.9921531 53.20742 1.655869E-11 7.299166E-11
MSTRG.1104.1 chr15 56100117 56100738 + 622 1.230907 0.5675262 1.525327 1.7197391 3.910524 0.2712894 0.3126092
MSTRG.1106.1 chr15 56225222 56225527 + 306 -0.8575323 1.734211 -0.8835819 1.4249393 25.10842 1.465516E-05 3.493495E-05
MSTRG.1107.1 chr15 56238686 56239348 + 663 1.834217 2.353954 0.8573131 1.9605817 7.874163 0.04868525 0.06742615
MSTRG.1108.1 chr15 56275975 56365765 + 89791 0.6709474 1.396745 1.173843 8.0074448 34.01059 1.97102E-07 6.050605E-07
MSTRG.1109.1 chr15 56350365 56402085 + 51721 0.9852994 0.4604589 1.084185 7.8926587 16.06308 0.001100709 0.001994363
MSTRG.1109.2 chr15 56371632 56402092 + 30461 0.6739777 -0.005790591 0.2161457 7.0988675 8.310549 0.04001121 0.05630865
MSTRG.1109.3 chr15 56401252 56402085 + 834 -0.1842749 0.05539881 -0.365823 3.4622615 1.703064 0.6362529 0.6698473
MSTRG.111.1 chr15 25291149 25367930 + 76782 -1.695866 -4.45606 -2.359365 9.0030648 211.6891 1.256411E-45 2.37217E-44
MSTRG.111.10 chr15 25311827 25367930 + 56104 -1.687965 -4.443482 -2.354982 8.9103748 209.438 3.851686E-45 7.11478E-44
MSTRG.111.11 chr15 25318073 25367862 + 49790 -1.685656 -4.451874 -2.361722 8.8813402 211.9348 1.111782E-45 2.136926E-44
MSTRG.111.13 chr15 25318264 25367861 + 49598 -1.685656 -4.451874 -2.361722 8.8813402 211.9348 1.111782E-45 2.136926E-44
MSTRG.111.14 chr15 25326433 25367930 + 41498 -1.715694 -4.464299 -2.38415 8.8015043 204.9766 3.546486E-44 6.358342E-43
MSTRG.111.18 chr15 25348946 25367861 + 18916 -1.782551 -4.543147 -2.419412 8.302917 177.9759 2.413095E-38 3.612869E-37
MSTRG.111.2 chr15 25293884 25367862 + 73979 -1.697077 -4.450523 -2.362681 8.9911906 211.8456 1.162251E-45 2.222729E-44
MSTRG.111.3 chr15 25294581 25367861 + 73281 -1.698553 -4.461446 -2.363792 8.9898504 212.0232 1.06395E-45 2.092454E-44
MSTRG.111.4 chr15 25294581 25367861 + 73281 -1.698553 -4.461446 -2.363792 8.9898504 212.0232 1.06395E-45 2.092454E-44
MSTRG.111.5 chr15 25298716 25367862 + 69147 -1.69318 -4.455168 -2.351816 8.9629331 211.5208 1.366143E-45 2.556725E-44
MSTRG.111.7 chr15 25307479 25367621 + 60143 -1.690174 -4.456092 -2.35131 8.9226132 211.8377 1.166842E-45 2.222729E-44
MSTRG.1110.1 chr15 56363828 56365304 + 1477 2.076249 1.714769 2.810617 6.0542489 31.49449 6.688086E-07 1.912739E-06
MSTRG.1113.1 chr15 56428330 56606814 + 178485 -0.2581902 -0.1254556 -0.2089973 5.8514641 0.9458789 0.8143444 0.8326881
MSTRG.1114.1 chr15 56559411 56668180 + 108770 0.3423367 0.3275146 0.6574096 4.838198 4.374935 0.2237208 0.2632699
MSTRG.1115.1 chr15 56559888 56803537 + 243650 0.5284027 0.1701379 1.09035 6.8941584 14.81377 0.001982914 0.003467662
MSTRG.1121.1 chr15 59850275 59850551 + 277 0.2645154 0.8565165 -0.1870685 1.5273829 3.017894 0.3888745 0.4335844
MSTRG.1122.1 chr15 59390582 59454787 + 64206 0.3692239 1.955896 0.367579 6.96106 70.93836 2.687258E-15 1.535011E-14
MSTRG.1127.1 chr15 59664910 59786886 + 121977 -0.06381258 -0.08316834 -0.5398673 6.9909948 6.24232 0.1003979 0.128919
MSTRG.1127.3 chr15 59730384 59815985 + 85602 3.293278 -0.02946997 0.2736914 6.5767421 206.4954 1.665629E-44 3.011542E-43
MSTRG.1127.4 chr15 59730395 59815979 + 85585 3.293278 -0.02946997 0.2736914 6.5767421 206.4954 1.665629E-44 3.011542E-43
MSTRG.1127.5 chr15 59730396 59786903 + 56508 1.994457 0.1288301 0.4302021 5.2696344 64.84492 5.41416E-14 2.887778E-13
MSTRG.1127.6 chr15 59731061 59815905 + 84845 3.28688 -0.02951882 0.273906 6.5720497 206.6214 1.564406E-44 2.852701E-43
MSTRG.1132.1 chr15 60335174 60372320 + 37147 0.16238 -0.1318414 0.8058583 3.3201246 8.749778 0.03280953 0.0469006
MSTRG.1132.2 chr15 60362055 60372320 + 10266 -0.0964239 -0.459517 0.3802052 2.9887219 3.380524 0.3365915 0.3812047
MSTRG.1133.1 chr15 60465919 60466124 + 206 0.7633142 1.507642 0.8749051 0.5585423 1.23607 0.744367 0.7705516
MSTRG.1134.1 chr15 60696765 60697027 + 263 -0.8870819 0.09532379 -0.09862401 8.2631775 20.11121 0.000160968 0.0003313317
MSTRG.1138.1 chr15 59968953 59969981 + 1029 0.3133123 0.7091845 0.08027974 5.6536469 6.953681 0.07338885 0.09732444
MSTRG.1139.1 chr15 60060529 60061414 + 886 -0.9838249 -0.1153428 -0.3911606 11.2206679 19.56023 0.0002093549 0.0004245805
MSTRG.1142.1 chr15 60117625 60118065 + 441 -2.127344 -0.2047355 -2.718174 1.5390623 23.52158 3.14366E-05 7.127521E-05
MSTRG.1143.1 chr15 60203481 60203751 + 271 1.499438 1.886973 1.131461 0.8291481 2.099576 0.5519985 0.5889916
MSTRG.1144.1 chr15 60204244 60204885 + 642 0.08457208 1.363366 0.6161389 2.527865 10.00009 0.01856536 0.02775306
MSTRG.1146.1 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.10 chr15 60658697 60660519 + 1823 -0.1221012 1.090162 0.9913246 4.6912495 5.500128 0.138631 0.1727119
MSTRG.1146.11 chr15 60658697 60660519 + 1823 -0.1221012 1.090162 0.9913246 4.6912495 5.500128 0.138631 0.1727119
MSTRG.1146.2 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.3 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.4 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.5 chr15 60658025 60660531 + 2507 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.6 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.7 chr15 60658025 60660545 + 2521 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.8 chr15 60658029 60660523 + 2495 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1146.9 chr15 60658029 60660523 + 2495 -0.004234413 1.097603 1.182716 5.5014873 7.385857 0.06056497 0.08206755
MSTRG.1150.1 chr15 61638252 61638613 + 362 -0.1974199 -0.09704455 -0.02992929 1.1009666 0.1154879 0.9899161 0.9913101
MSTRG.1151.1 chr15 61638973 61639187 + 215 -5.42726 -2.249651 -3.181418 0.8504177 42.01763 3.977704E-09 1.446962E-08
MSTRG.1152.1 chr15 61676434 61676697 + 264 0.9320509 0.8894494 1.111833 1.1408159 1.181208 0.7575148 0.7832119
MSTRG.1153.1 chr15 61809005 61809211 + 207 5.050562 6.114103 5.50114 1.3772601 12.83338 0.005011153 0.008255827
MSTRG.1161.1 chr15 62377056 62377341 + 286 -0.9298355 -1.266275 -0.4086869 1.0959218 1.847772 0.6045948 0.6398328
MSTRG.1162.1 chr15 62391932 62392892 + 961 -0.5515781 -0.5931968 0.4045122 1.8176749 5.106558 0.1641587 0.2004192
MSTRG.1164.1 chr15 62407644 62508657 + 101014 -0.3764903 1.303615 0.3287757 5.187258 33.06334 3.123091E-07 9.269334E-07
MSTRG.1166.1 chr15 62574919 62575149 + 231 -0.8186853 -0.4027479 -0.1156301 1.3124281 1.922509 0.5886449 0.6246575
MSTRG.1172.1 chr15 62295887 62311302 + 15416 0.5732614 0.9840041 0.7255142 4.839696 9.0118 0.02913441 0.04198449
MSTRG.1173.1 chr15 62298367 62309279 + 10913 0.786745 0.5495298 1.124842 3.9453619 9.230654 0.02637632 0.03835984
MSTRG.1173.2 chr15 62298367 62308921 + 10555 0.9395566 0.7122429 1.256423 3.7609726 9.201586 0.02672735 0.03885711
MSTRG.1174.1 chr15 62309016 62341595 + 32580 0.5760815 0.3498378 0.3114911 4.5191361 3.18127 0.3645123 0.4099563
MSTRG.1176.1 chr15 62309840 62342180 + 32341 0.7910762 0.3658563 0.4830445 4.3209249 6.039804 0.1096897 0.1397569
MSTRG.1176.2 chr15 62310070 62342222 + 32153 0.7544603 0.3453918 0.4372318 4.2918739 5.687227 0.1278595 0.1607947
MSTRG.1178.1 chr15 63152533 63152788 + 256 0.5883358 3.66717 0.8971612 1.1147392 18.95025 0.0002799508 0.0005539631
MSTRG.1179.1 chr15 63217506 63217772 + 267 3.873483 5.15957 2.912148 0.4511181 9.063284 0.02846121 0.04116746
MSTRG.1180.1 chr15 63310159 63310358 + 200 -0.5863858 -0.9344238 -0.3882677 1.5919624 1.173346 0.7594038 0.7849748
MSTRG.1181.1 chr15 63245476 63246765 + 1290 -3.096012 -1.532677 -1.900398 9.4666883 247.1463 2.710338E-53 6.497197E-52
MSTRG.1182.8 chr15 63334959 63364114 + 29156 -6.944236 -6.858287 -6.063297 13.9219212 1592.942 0 0
MSTRG.1183.1 chr15 63366626 63391356 + 24731 0.1845384 0.5181386 0.3151807 3.7714355 1.735129 0.6291523 0.6630261
MSTRG.1183.2 chr15 63390455 63391945 + 1491 0.7683172 1.306623 0.6765075 3.3663196 8.762549 0.03262033 0.04667705
MSTRG.1183.3 chr15 63390455 63391356 + 902 0.5011192 1.19189 0.5265855 3.2137376 7.748489 0.05150596 0.07091835
MSTRG.1183.4 chr15 63390455 63391335 + 881 0.5011192 1.19189 0.5265855 3.2137376 7.748489 0.05150596 0.07091835
MSTRG.1183.5 chr15 63390455 63391335 + 881 0.5011192 1.19189 0.5265855 3.2137376 7.748489 0.05150596 0.07091835
MSTRG.1185.1 chr15 63410355 63455189 + 44835 -1.366275 0.6008632 -0.6096356 8.8349917 73.73011 6.780289E-16 3.93091E-15
MSTRG.1187.1 chr15 63415626 63416241 + 616 0.6215568 2.194553 0.8041302 5.098295 48.21159 1.919751E-10 7.853863E-10
MSTRG.1189.2 chr15 63481735 63559941 + 78207 1.458209 1.326047 1.779521 7.9917568 54.84699 7.402112E-12 3.367528E-11
MSTRG.1189.3 chr15 63516070 63559968 + 43899 1.434819 1.239393 1.73628 7.8997796 50.18223 7.306208E-11 3.092816E-10
MSTRG.1191.5 chr15 63797915 63886799 + 88885 -0.05947969 0.780338 0.8652806 7.3285891 11.24628 0.01046603 0.01634647
MSTRG.1191.6 chr15 63820844 63886795 + 65952 -0.1497402 0.7391081 0.8065521 7.2623436 11.39188 0.009785037 0.01532211
MSTRG.1196.1 chr15 63656114 63692568 + 36455 -0.08448994 -0.6056359 0.4162499 3.2713476 5.111659 0.1638012 0.2002119
MSTRG.1196.2 chr15 63656127 63741346 + 85220 0.3499884 0.911647 0.7076998 4.2740754 5.704142 0.1269259 0.1597147
MSTRG.12.1 chr15 21246549 21246884 + 336 0.01956107 -0.1731645 -0.1621725 1.5029322 0.2019257 0.9772778 0.9802643
MSTRG.1200.1 chr15 64439746 64440192 + 447 0.2296419 0.2495171 0.4559671 2.4072674 0.576265 0.9018438 0.9134032
MSTRG.1202.1 chr15 62624654 62625350 + 697 4.197893 3.990878 3.294045 2.5698122 23.53049 3.130229E-05 7.100845E-05
MSTRG.1204.1 chr15 62637808 62649741 + 11934 0.5442982 1.063017 0.7406421 1.8916474 2.270257 0.5182427 0.5572938
MSTRG.1205.1 chr15 62682705 63136830 + 454126 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.10 chr15 62682739 63136830 + 454092 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.11 chr15 62682739 63136830 + 454092 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.12 chr15 62683945 63136830 + 452886 0.535334 -1.897847 -2.686374 9.087052 105.3419 1.103072E-22 9.964426E-22
MSTRG.1205.13 chr15 62684538 63136830 + 452293 0.5370703 -1.894248 -2.682768 9.084874 105.3392 1.104564E-22 9.964426E-22
MSTRG.1205.14 chr15 62684538 63136830 + 452293 0.5370703 -1.894248 -2.682768 9.084874 105.3392 1.104564E-22 9.964426E-22
MSTRG.1205.15 chr15 62684582 63136830 + 452249 0.5367218 -1.894248 -2.682769 9.0846968 105.3032 1.124418E-22 1.012213E-21
MSTRG.1205.16 chr15 62768978 63136830 + 367853 0.5456139 -1.981666 -2.821225 9.0406598 111.8866 4.308123E-24 4.168426E-23
MSTRG.1205.17 chr15 62881409 63136830 + 255422 0.5304965 -2.207438 -3.10601 8.9807957 124.8013 7.132209E-27 7.627353E-26
MSTRG.1205.19 chr15 62994964 63136830 + 141867 0.4758099 -2.331068 -3.466545 8.7730949 133.865 7.944426E-29 9.137161E-28
MSTRG.1205.2 chr15 62682705 63136830 + 454126 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.3 chr15 62682705 63136830 + 454126 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.4 chr15 62682705 63136830 + 454126 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.5 chr15 62682705 63136830 + 454126 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.6 chr15 62682716 63136830 + 454115 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.7 chr15 62682716 63136830 + 454115 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.8 chr15 62682716 63136830 + 454115 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1205.9 chr15 62682716 63136830 + 454115 0.5362447 -1.90006 -2.688596 9.0893962 105.3427 1.102658E-22 9.964426E-22
MSTRG.1208.1 chr15 63006386 63037067 + 30682 0.7012166 -2.880859 -2.246035 5.4331639 82.43803 9.204273E-18 6.014492E-17
MSTRG.1212.1 chr15 63937816 63942023 + 4208 1.352717 0.604655 0.6943651 3.8371947 6.888847 0.07552627 0.09980508
MSTRG.1216.1 chr15 64353617 64354007 + 391 1.122689 4.071723 0.8101044 3.3217647 85.68828 1.846753E-18 1.254792E-17
MSTRG.1216.2 chr15 64353639 64354007 + 369 1.122689 4.071723 0.8101044 3.3217647 85.68828 1.846753E-18 1.254792E-17
MSTRG.1221.1 chr15 64604932 64624123 + 19192 0.7480046 1.193604 0.9934955 3.8319414 5.768459 0.123435 0.1556433
MSTRG.1222.1 chr15 64633181 64747486 + 114306 -0.2511667 0.1080408 0.06825291 7.4497045 3.347317 0.3411111 0.3857729
MSTRG.1222.2 chr15 64657364 64747488 + 90125 -0.1573811 0.1835943 0.1773545 7.3306382 3.138408 0.3707737 0.4161867
MSTRG.1222.3 chr15 64679849 64747488 + 67640 -0.2843482 0.0184896 0.01208878 7.1499719 2.450575 0.4842896 0.5251496
MSTRG.1225.1 chr15 64661813 64763019 + 101207 -0.2066085 0.08299853 0.1010047 7.3383684 2.527126 0.4704088 0.5125726
MSTRG.1232.1 chr15 64885152 64885599 + 448 -1.084944 0.4343467 -0.4679539 9.1268689 37.54363 3.530604E-08 1.166932E-07
MSTRG.1234.1 chr15 64443883 64449674 + 5792 0.5282414 1.884843 0.4966599 9.0637018 42.18925 3.65774E-09 1.331705E-08
MSTRG.1234.2 chr15 64443883 64449674 + 5792 0.5282414 1.884843 0.4966599 9.0637018 42.18925 3.65774E-09 1.331705E-08
MSTRG.1236.4 chr15 64388136 64436333 + 48198 -0.3272662 -0.08871265 0.108451 9.4914302 6.181296 0.1031153 0.1318886
MSTRG.1236.5 chr15 64388159 64436320 + 48162 -0.3269069 -0.08786961 0.10888 9.4909917 6.173974 0.1034461 0.1322362
MSTRG.1236.6 chr15 64401861 64436333 + 34473 -0.3181316 -0.1306784 0.1177204 9.435916 6.327742 0.09670919 0.1245948
MSTRG.1241.1 chr15 64980226 64980867 + 642 0.1753106 -0.05064435 -0.8054025 7.3695556 14.03288 0.002860733 0.004898374
MSTRG.1242.1 chr15 64999401 65082083 + 82683 -4.202471 -3.6361 -3.889145 8.230734 744.7764 4.096376E-161 6.991695E-159
MSTRG.1247.3 chr15 65134098 65250933 + 116836 0.8425402 0.6513762 1.439791 8.6029705 61.48612 2.829347E-13 1.435532E-12
MSTRG.1247.4 chr15 65203986 65250933 + 46948 1.17716 -0.2154943 1.262377 6.8897997 48.88101 1.382805E-10 5.728573E-10
MSTRG.1247.5 chr15 65203986 65250933 + 46948 1.17716 -0.2154943 1.262377 6.8897997 48.88101 1.382805E-10 5.728573E-10
MSTRG.1247.6 chr15 65204094 65250942 + 46849 1.169837 -0.2240914 1.253783 6.8914822 48.67725 1.528042E-10 6.311865E-10
MSTRG.1247.7 chr15 65204098 65250942 + 46845 1.169837 -0.2240914 1.253783 6.8914822 48.67725 1.528042E-10 6.311865E-10
MSTRG.1247.9 chr15 65211541 65250942 + 39402 1.159146 -0.2230986 1.269577 6.8707909 48.20613 1.924894E-10 7.867359E-10
MSTRG.1248.1 chr15 65172561 65179095 + 6535 -0.375654 0.3373682 0.08176023 3.7235296 2.509717 0.4735375 0.5153664
MSTRG.1249.1 chr15 65195061 65232600 + 37540 0.5567631 -1.147799 -0.4366118 5.1449709 32.99253 3.232382E-07 9.545034E-07
MSTRG.1255.1 chr15 65367762 65368418 + 657 1.865809 2.081386 1.84884 2.7966954 11.54959 0.009096645 0.01432302
MSTRG.1258.1 chr15 65382271 65442696 + 60426 0.01143797 0.2490889 -0.4676878 8.0191829 14.66815 0.002123362 0.003699627
MSTRG.1261.1 chr15 65518879 65519849 + 971 -0.2940162 -1.581757 -0.631627 4.2158989 14.13259 0.002730114 0.004686001
MSTRG.1265.1 chr15 65617916 65695183 + 77268 2.540198 -0.589377 0.07073148 5.749659 103.4871 2.764235E-22 2.426952E-21
MSTRG.1268.1 chr15 65680372 65762025 + 81654 0.4280669 -1.245076 -0.4435281 8.2267356 64.72611 5.740415E-14 3.057971E-13
MSTRG.1269.1 chr15 65728908 65784371 + 55464 0.3331817 -1.315598 -0.5924546 8.3263381 75.30357 3.119196E-16 1.830758E-15
MSTRG.1269.2 chr15 65728910 65815907 + 86998 0.3505854 -1.181977 -0.5142037 8.5205813 71.11583 2.462062E-15 1.40826E-14
MSTRG.1269.3 chr15 65784117 65815909 + 31793 0.5876248 -0.1453516 0.2952679 5.6849299 9.458911 0.02377252 0.03483425
